question_id,question,ground_truth_query,generated_query,success,total_iterations,first_attempt_valid,bleu,rouge_l_f1,jaro_winkler,jaccard_cypher,pass_at_1,jaccard_output,llmetric_q,reasoning_level,sublevel,complexity,errors_encountered
1,Berapakah jumlah SKS untuk mata kuliah 'Aljabar Linear'?,MATCH (n:MK {nama: 'Aljabar Linear'}) RETURN n.sks,MATCH (m:MK) WHERE m.nama = 'Aljabar Linear' RETURN m.sks,True,1,True,9.460044053305668e-155,0.7,0.8899454343522141,0.6363636363636364,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
2,Apakah nama lengkap dari mata kuliah dengan kode 'TKU211131'?,MATCH (n:MK {kode: 'TKU211131'}) RETURN n.nama,MATCH (m:MK {kode: 'TKU211131'}) RETURN m.nama,True,1,True,0.6389431042462724,0.75,0.9816809605488851,0.75,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
3,Bagaimanakah deskripsi untuk Capaian Lulusan (SO) dengan kode 'KP.1'?,MATCH (n:SO {kode: 'KP.1'}) RETURN n.deskripsi,MATCH (s:SO {kode: 'KP.1'}) RETURN s.deskripsi,True,1,True,0.6901670171940026,0.7778,0.9677830940988835,0.7777777777777778,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
4,Tampilkan seluruh mata kuliah yang ditawarkan pada semester 1.,MATCH (n:MK) WHERE n.semester = 1 RETURN n.nama,MATCH (m:MK) WHERE m.semester = 1 RETURN m,True,1,True,0.4197010774824036,0.6316,0.8806785243741766,0.7,False,0.14285714285714285,50.41853547901374,Fakta Eksplisit,Nodes,Easy,
5,Tampilkan nama dan kode untuk semua mata kuliah yang memiliki tipe 'Pilihan'.,"MATCH (n:MK) WHERE n.tipe = 'Pilihan' RETURN n.nama, n.kode","MATCH (m:MK) WHERE m.tipe = 'Pilihan' RETURN m.nama, m.kode",True,1,True,0.4062749424452353,0.6667,0.9256277056277057,0.8181818181818182,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
6,Apa sajakah klasifikasi unik yang ada untuk semua mata kuliah?,MATCH (n:MK) RETURN DISTINCT n.klasifikasi,MATCH (m:MK) RETURN DISTINCT m.klasifikasi,True,1,True,0.4497332084013506,0.7143,0.9833333333333334,0.7142857142857143,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
7,Berapakah jumlah total mata kuliah yang bertipe 'Wajib'?,MATCH (n:MK) WHERE n.tipe = 'Wajib' RETURN COUNT(n),MATCH (m:MK) WHERE m.tipe = 'Wajib' RETURN COUNT(m) AS total,True,1,True,0.4790714250659131,0.6364,0.9552173913043478,0.6666666666666666,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
8,"Tampilkan semua mata kuliah, diurutkan berdasarkan semester dari awal hingga akhir.","MATCH (n:MK) RETURN n.nama, n.semester ORDER BY n.semester",MATCH (m:MK) RETURN m ORDER BY m.semester ASC,True,1,True,0.1860067949655926,0.5455,0.843949864867316,0.6,False,0.2777777777777778,52.50280487989214,Fakta Eksplisit,Nodes,Medium,
9,Sebutkan 5 mata kuliah yang diurutkan berdasarkan namanya.,MATCH (n:MK) RETURN n.nama ORDER BY n.nama LIMIT 5,MATCH (m:MK) RETURN m ORDER BY m.nama LIMIT 5,True,1,True,0.34245097009375325,0.6957,0.883571359578314,0.8,False,0.1388888888888889,50.67413457566935,Fakta Eksplisit,Nodes,Medium,
10,Berapakah rata-rata jumlah SKS pada tiap semester.,"MATCH (n:MK) RETURN n.semester, AVG(n.sks) ORDER BY n.semester","MATCH (m:MK) WITH m.semester AS semester, AVG(m.sks) AS average_sks ORDER BY semester RETURN semester, average_sks",True,3,False,0.19287166967040906,0.4706,0.6886181401323263,0.6153846153846154,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,syntax_error
